Class,File,Surface Area,Volume,Rectangularity,Compactness,Convexity,Eccentricity,Diameter,A3_0,A3_1,A3_2,A3_3,A3_4,A3_5,A3_6,A3_7,D1_0,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D2_0,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D3_0,D3_1,D3_2,D3_3,D3_4,D3_5,D3_6,D3_7,D4_0,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7
AircraftBuoyant,m1337.obj,0.1273790642158,0.08749260841775536,0.018527308961810613,9.380841492241859e-05,0.019426845803233343,1.9375689255698913e-07,0.00346164302539325,0.022883250704773,0.0629921259842519,0.0990181782832701,0.1321668124817731,0.1553611354136288,0.166909691844075,0.1808690580344123,0.1797997472538155,0.0,0.0,0.10699,0.53588,0.35713,0.0,0.0,0.0,0.0180451427659913,0.0559299728824373,0.0971147710958685,0.1345509650661987,0.1709602807465305,0.2104103525283139,0.2407780347742861,0.0722104801403732,0.5109109301989498,0.4573534370634423,0.0317356327376077,0.0,0.0,0.0,0.0,0.0,0.1622208259553321,0.5644789703166353,0.2728622836579654,0.0004379200700672,0.0,0.0,0.0,0.0
AircraftBuoyant,m1338.obj,0.16139133528492083,0.08988444033185483,0.017552916340464284,0.0001802250157709682,0.018568154326525504,1.025743025965665e-06,0.003537544648201161,0.0220258353960396,0.0630607982673267,0.1008276608910891,0.1315362004950495,0.1537940903465346,0.1685875618811881,0.1803643254950495,0.1798035272277227,0.0,0.0,0.00848,0.89178,0.09974,0.0,0.0,0.0,0.0180618408723909,0.0562887502242778,0.096100556209007,0.1345168557245669,0.1741592073523255,0.2098044297362492,0.237295907178884,0.0737724527022986,0.5033140655105973,0.4699229287090559,0.0267630057803468,0.0,0.0,0.0,0.0,0.0,0.1555996973136587,0.5656261823685206,0.2783579265985622,0.0004161937192584,0.0,0.0,0.0,0.0
AircraftBuoyant,m1339.obj,0.08168085246640747,0.03669547407134644,0.016953751471514098,0.00014171624222954129,0.019382653209257056,3.882051397846386e-05,0.003050151677089626,0.0487922055460537,0.1099025693256721,0.1277360339758249,0.1310798085977285,0.1373830159309721,0.1449545515690758,0.1525260872071795,0.1476257278474931,0.06658,0.24857,0.21801,0.20124,0.20583,0.05977,0.0,0.0,0.0437725182634313,0.137966040965822,0.1570057925433445,0.2068395803889563,0.2596094512013058,0.1151641220614288,0.0594880267531898,0.0201544678225212,0.8892873323886367,0.1107126676113633,0.0,0.0,0.0,0.0,0.0,0.0,0.4710460891183782,0.5085102314017976,0.020443679479824,0.0,0.0,0.0,0.0,0.0
AircraftBuoyant,m1340.obj,0.02472098085327994,0.008830574825341258,0.012656044659794566,7.132329591385402e-05,0.01645075523229626,0.0002279207220450541,0.0030471883136090967,0.1323327484934015,0.1969448470516439,0.1624075062933862,0.1405141505835685,0.093428179113586,0.0878594858494164,0.0919787931955145,0.0945342894194828,0.03389,0.31361,0.12614,0.18568,0.20135,0.13933,0.0,0.0,0.1291989406821847,0.1894327074331455,0.2075625734254594,0.0790107723860536,0.1175802950956771,0.1366958045439159,0.1282730331932856,0.0122458732402779,0.9966719722182028,0.0033280277817971,0.0,0.0,0.0,0.0,0.0,0.0,0.7909150226452752,0.2090849773547248,0.0,0.0,0.0,0.0,0.0,0.0
AircraftBuoyant,m1341.obj,0.031472483087271394,0.009739303938910636,0.012792429886993396,0.00011909774256196812,0.015722811654872864,0.00013054041797097284,0.003035071795614241,0.0809594369327653,0.1479533246897573,0.1599740692720874,0.1481200222263382,0.1244674939803667,0.1146508612706056,0.1135765882570846,0.1102982033709946,0.06701,0.16549,0.32776,0.22087,0.21887,0.0,0.0,0.0,0.0929771813149615,0.2212277487953486,0.3127115606706224,0.1512086336665206,0.0793476962287443,0.0630600135398829,0.059456015292103,0.0200111504918163,0.9926827857473391,0.0073172142526608,0.0,0.0,0.0,0.0,0.0,0.0,0.7940022313699843,0.2059977686300158,0.0,0.0,0.0,0.0,0.0,0.0
AircraftBuoyant,m1342.obj,0.07736455039614429,0.03539396853819702,0.016204935737179547,0.00012959725377210957,0.019265302395296956,3.35396830821089e-05,0.0031099810445163116,0.0455465043415987,0.0871184316533882,0.1157819353683645,0.138626801539701,0.1502640766269805,0.1592158266941187,0.1551875391639065,0.1482588846119416,0.09227,0.21051,0.12792,0.15533,0.15857,0.19493,0.06047,0.0,0.0438556327513785,0.1043138972388668,0.1628212529612008,0.2177950749507296,0.2594708657655326,0.1251766766866402,0.0576214838850954,0.0289451157605558,0.8803909849813955,0.1196090150186045,0.0,0.0,0.0,0.0,0.0,0.0,0.4001265434465833,0.579779891095943,0.0200935654574737,0.0,0.0,0.0,0.0,0.0
AircraftBuoyant,m1343.obj,0.1275798774213269,0.05746165590914739,0.019738645247138333,0.0002184740024000129,0.022709021723537566,6.988886109813896e-06,0.003117787208055655,0.025222770454378,0.0718941011856543,0.1067641210692981,0.1335518079387289,0.1534170410192208,0.1683481846969585,0.1704286029899109,0.1703733706458502,0.01872,0.15564,0.44038,0.35355,0.03171,0.0,0.0,0.0,0.0295151159202444,0.1039648804961326,0.1757269279393173,0.2391072797316264,0.2554525817016236,0.1658719651194043,0.0205958768428282,0.0097653722488228,0.8716402381457005,0.1282730583225756,8.670353172385889e-05,0.0,0.0,0.0,0.0,0.0,0.3762854144805876,0.5963750834684728,0.0273395020509396,0.0,0.0,0.0,0.0,0.0
AircraftBuoyant,m1344.obj,0.07547170001652166,0.039827177656278266,0.015304218051789291,9.508770521895313e-05,0.019276238041493393,2.1260527721667746e-05,0.003076065921579932,0.0458190148911798,0.0766513936617029,0.1070255822833142,0.1303932798778159,0.1488163421153112,0.160557464681176,0.1643375334096983,0.1663993890798014,0.05158,0.18507,0.14787,0.13649,0.20307,0.27592,0.0,0.0,0.0387375461575977,0.0888714156323715,0.1456340635606294,0.2183714703745359,0.2630112171671427,0.1630022593584218,0.052433040379811,0.0299389873694897,0.8184910387357872,0.1804393910194642,0.0010695702447485,0.0,0.0,0.0,0.0,0.0,0.3208393216441506,0.6334770527929482,0.0456836255629012,0.0,0.0,0.0,0.0,0.0
AircraftBuoyant,m1345.obj,0.11666766135334089,0.0497294903475251,0.024289713742037915,0.00022335649283760037,0.03410548039346121,3.0165766380246008e-05,0.003033380329802404,0.0419446346473637,0.0966839479604812,0.1218820307150543,0.1359874792135381,0.1490169226254524,0.1549642961948547,0.150014672796635,0.1495060158466203,0.0,0.28148,0.43157,0.26058,0.02637,0.0,0.0,0.0,0.050878834325298,0.1317355733821685,0.1953838804068714,0.2604952525031351,0.2349065429862452,0.0951290881223003,0.0175368752114975,0.0139339530624838,0.9476215721239578,0.0523784278760422,0.0,0.0,0.0,0.0,0.0,0.0,0.4747530605240074,0.5220815376987911,0.0031654017772014,0.0,0.0,0.0,0.0,0.0
AircraftBuoyant,m1346.obj,0.033533917305569136,0.007938140925052144,0.013183540793938874,0.00021592429270519094,0.015222130698824972,0.00017471958650998174,0.0031402674459524013,0.0623507820240048,0.1498432703707914,0.1788829156583456,0.171541797274691,0.1444836042942294,0.1161910639749232,0.0955969531110425,0.0811096132919718,0.06111,0.45102,0.28808,0.17992,0.01987,0.0,0.0,0.0,0.0742838937066279,0.2653252222742162,0.2672467866067962,0.1727615766783819,0.1153137725385557,0.0662790350361911,0.0323778611893786,0.0064118519698523,0.9999710648148148,2.8935185185185183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.8527702882314966,0.1472297117685033,0.0,0.0,0.0,0.0,0.0,0.0
