,Class,Specificity,Sensitivity,Precision,Accuracy,F1
0,AircraftBuoyant,"{'Average': 0.993386693914623, 'Median': 0.9931880108991825, 'Min': 0.9931880108991825, 'Max': 0.9940962761126249}","{'Average': 0.08984375, 'Median': 0.0625, 'Min': 0.0625, 'Max': 0.1875}","{'Average': 0.08984375, 'Median': 0.0625, 'Min': 0.0625, 'Max': 0.1875}","{'Average': 0.9868688007213706, 'Median': 0.9864743011722272, 'Min': 0.9864743011722272, 'Max': 0.9882777276825969}","{'Average': 0.08984375, 'Median': 0.0625, 'Min': 0.0625, 'Max': 0.1875}"
1,Apartment,"{'Average': 0.9909478062790924, 'Median': 0.992255125284738, 'Min': 0.9899772209567198, 'Max': 0.9927107061503417}","{'Average': 0.13610586011342155, 'Median': 0.2608695652173913, 'Min': 0.043478260869565216, 'Max': 0.30434782608695654}","{'Average': 0.13610586011342155, 'Median': 0.2608695652173913, 'Min': 0.043478260869565216, 'Max': 0.30434782608695654}","{'Average': 0.9820833496687184, 'Median': 0.9846708746618575, 'Min': 0.9801623083859333, 'Max': 0.9855725879170424}","{'Average': 0.13610586011342155, 'Median': 0.2608695652173913, 'Min': 0.043478260869565216, 'Max': 0.30434782608695654}"
2,AquaticAnimal,"{'Average': 0.9889921722113504, 'Median': 0.9876712328767123, 'Min': 0.9876712328767123, 'Max': 0.9904109589041096}","{'Average': 0.139030612244898, 'Median': 0.03571428571428571, 'Min': 0.03571428571428571, 'Max': 0.25}","{'Average': 0.139030612244898, 'Median': 0.03571428571428571, 'Min': 0.03571428571428571, 'Max': 0.25}","{'Average': 0.9782622697410792, 'Median': 0.975653742110009, 'Min': 0.975653742110009, 'Max': 0.9810640216411182}","{'Average': 0.139030612244898, 'Median': 0.03571428571428571, 'Min': 0.03571428571428571, 'Max': 0.25}"
3,Bed,"{'Average': 0.9904660479740353, 'Median': 0.9913281606572342, 'Min': 0.9881332724783204, 'Max': 0.9922409858512095}","{'Average': 0.2263374485596708, 'Median': 0.2962962962962963, 'Min': 0.037037037037037035, 'Max': 0.37037037037037035}","{'Average': 0.2263374485596708, 'Median': 0.2962962962962963, 'Min': 0.037037037037037035, 'Max': 0.37037037037037035}","{'Average': 0.9811642120028053, 'Median': 0.9828674481514879, 'Min': 0.9765554553651938, 'Max': 0.9846708746618575}","{'Average': 0.2263374485596708, 'Median': 0.2962962962962963, 'Min': 0.037037037037037035, 'Max': 0.37037037037037035}"
4,Bicycle,"{'Average': 0.9928761931499159, 'Median': 0.989507299270073, 'Min': 0.988594890510949, 'Max': 0.9958941605839416}","{'Average': 0.3994082840236687, 'Median': 0.11538461538461539, 'Min': 0.038461538461538464, 'Max': 0.6538461538461539}","{'Average': 0.3994082840236687, 'Median': 0.11538461538461539, 'Min': 0.038461538461538464, 'Max': 0.6538461538461539}","{'Average': 0.9859194007074981, 'Median': 0.9792605951307484, 'Min': 0.9774571686203787, 'Max': 0.9918845807033363}","{'Average': 0.3994082840236687, 'Median': 0.11538461538461539, 'Min': 0.038461538461538464, 'Max': 0.6538461538461539}"
5,Biplane,"{'Average': 0.98299330163113, 'Median': 0.9834330418775886, 'Min': 0.9797514956281639, 'Max': 0.9871145881270134}","{'Average': 0.17876543209876544, 'Median': 0.2, 'Min': 0.022222222222222223, 'Max': 0.37777777777777777}","{'Average': 0.17876543209876544, 'Median': 0.2, 'Min': 0.022222222222222223, 'Max': 0.37777777777777777}","{'Average': 0.9666766857028354, 'Median': 0.9675383228133454, 'Min': 0.9603246167718665, 'Max': 0.9747520288548241}","{'Average': 0.17876543209876544, 'Median': 0.20000000000000004, 'Min': 0.022222222222222223, 'Max': 0.37777777777777777}"
6,Bird,"{'Average': 0.9823534331354018, 'Median': 0.9806807727690893, 'Min': 0.9802207911683533, 'Max': 0.984360625574977}","{'Average': 0.128099173553719, 'Median': 0.045454545454545456, 'Min': 0.022727272727272728, 'Max': 0.22727272727272727}","{'Average': 0.128099173553719, 'Median': 0.045454545454545456, 'Min': 0.022727272727272728, 'Max': 0.22727272727272727}","{'Average': 0.9654070005738173, 'Median': 0.9621280432822362, 'Min': 0.9612263300270514, 'Max': 0.9693417493237151}","{'Average': 0.128099173553719, 'Median': 0.045454545454545456, 'Min': 0.022727272727272728, 'Max': 0.22727272727272727}"
7,Bottle,"{'Average': 0.9875805714117143, 'Median': 0.9862825788751715, 'Min': 0.9862825788751715, 'Max': 0.99039780521262}","{'Average': 0.12382934443288235, 'Median': 0.03225806451612903, 'Min': 0.03225806451612903, 'Max': 0.3225806451612903}","{'Average': 0.12382934443288235, 'Median': 0.03225806451612903, 'Min': 0.03225806451612903, 'Max': 0.3225806451612903}","{'Average': 0.9755083044882049, 'Median': 0.9729486023444545, 'Min': 0.9729486023444545, 'Max': 0.9810640216411182}","{'Average': 0.12382934443288235, 'Median': 0.03225806451612903, 'Min': 0.03225806451612903, 'Max': 0.3225806451612903}"
8,BuildingNonResidential,"{'Average': 0.9812243873881413, 'Median': 0.9816007359705612, 'Min': 0.9802207911683533, 'Max': 0.9829806807727691}","{'Average': 0.07231404958677688, 'Median': 0.09090909090909091, 'Min': 0.022727272727272728, 'Max': 0.1590909090909091}","{'Average': 0.07231404958677688, 'Median': 0.09090909090909091, 'Min': 0.022727272727272728, 'Max': 0.1590909090909091}","{'Average': 0.9631937044020003, 'Median': 0.9639314697926059, 'Min': 0.9612263300270514, 'Max': 0.9666366095581606}","{'Average': 0.07231404958677688, 'Median': 0.09090909090909091, 'Min': 0.022727272727272728, 'Max': 0.1590909090909091}"
9,Car,"{'Average': 0.9701611182244986, 'Median': 0.9610328638497653, 'Min': 0.9591549295774648, 'Max': 0.9830985915492958}","{'Average': 0.27776342975206614, 'Median': 0.056818181818181816, 'Min': 0.011363636363636364, 'Max': 0.5909090909090909}","{'Average': 0.27776342975206614, 'Median': 0.056818181818181816, 'Min': 0.011363636363636364, 'Max': 0.5909090909090909}","{'Average': 0.9426899745880807, 'Median': 0.9251577998196574, 'Min': 0.9215509467989179, 'Max': 0.9675383228133454}","{'Average': 0.27776342975206614, 'Median': 0.056818181818181816, 'Min': 0.011363636363636364, 'Max': 0.5909090909090909}"
