,class,file,truePositives,falsePositives,trueNegatives,falseNegatives,Specificity,Sensitivity,Precision,Accuracy,F1
0,AircraftBuoyant,m1337.obj,2,14,2188,14,0.9936421435059037,0.125,0.125,0.9873760144274121,0.125
1,AircraftBuoyant,m1338.obj,2,14,2188,14,0.9936421435059037,0.125,0.125,0.9873760144274121,0.125
2,AircraftBuoyant,m1339.obj,1,15,2187,15,0.9931880108991825,0.0625,0.0625,0.9864743011722272,0.0625
3,AircraftBuoyant,m1340.obj,1,15,2187,15,0.9931880108991825,0.0625,0.0625,0.9864743011722272,0.0625
4,AircraftBuoyant,m1341.obj,1,15,2187,15,0.9931880108991825,0.0625,0.0625,0.9864743011722272,0.0625
5,AircraftBuoyant,m1342.obj,1,15,2187,15,0.9931880108991825,0.0625,0.0625,0.9864743011722272,0.0625
6,AircraftBuoyant,m1343.obj,1,15,2187,15,0.9931880108991825,0.0625,0.0625,0.9864743011722272,0.0625
7,AircraftBuoyant,m1344.obj,1,15,2187,15,0.9931880108991825,0.0625,0.0625,0.9864743011722272,0.0625
8,AircraftBuoyant,m1345.obj,1,15,2187,15,0.9931880108991825,0.0625,0.0625,0.9864743011722272,0.0625
9,AircraftBuoyant,m1346.obj,2,14,2188,14,0.9936421435059037,0.125,0.125,0.9873760144274121,0.125
10,AircraftBuoyant,m1347.obj,2,14,2188,14,0.9936421435059037,0.125,0.125,0.9873760144274121,0.125
11,AircraftBuoyant,m1348.obj,2,14,2188,14,0.9936421435059037,0.125,0.125,0.9873760144274121,0.125
12,AircraftBuoyant,m1349.obj,1,15,2187,15,0.9931880108991825,0.0625,0.0625,0.9864743011722272,0.0625
13,AircraftBuoyant,m1350.obj,1,15,2187,15,0.9931880108991825,0.0625,0.0625,0.9864743011722272,0.0625
14,AircraftBuoyant,m1351.obj,1,15,2187,15,0.9931880108991825,0.0625,0.0625,0.9864743011722272,0.0625
15,AircraftBuoyant,m1352.obj,3,13,2189,13,0.9940962761126249,0.1875,0.1875,0.9882777276825969,0.1875
16,Apartment,D00045.obj,6,17,2178,17,0.992255125284738,0.2608695652173913,0.2608695652173913,0.9846708746618575,0.2608695652173913
17,Apartment,D00086.obj,1,22,2173,22,0.9899772209567198,0.043478260869565216,0.043478260869565216,0.9801623083859333,0.043478260869565216
18,Apartment,D00138.obj,2,21,2174,21,0.9904328018223235,0.08695652173913043,0.08695652173913043,0.9810640216411182,0.08695652173913043
19,Apartment,D00156.obj,6,17,2178,17,0.992255125284738,0.2608695652173913,0.2608695652173913,0.9846708746618575,0.2608695652173913
20,Apartment,D00310.obj,5,18,2177,18,0.9917995444191344,0.21739130434782608,0.21739130434782608,0.9837691614066727,0.21739130434782608
21,Apartment,D00348.obj,1,22,2173,22,0.9899772209567198,0.043478260869565216,0.043478260869565216,0.9801623083859333,0.043478260869565216
22,Apartment,D00366.obj,2,21,2174,21,0.9904328018223235,0.08695652173913043,0.08695652173913043,0.9810640216411182,0.08695652173913043
23,Apartment,D00478.obj,5,18,2177,18,0.9917995444191344,0.21739130434782608,0.21739130434782608,0.9837691614066727,0.21739130434782608
24,Apartment,D00496.obj,1,22,2173,22,0.9899772209567198,0.043478260869565216,0.043478260869565216,0.9801623083859333,0.043478260869565216
25,Apartment,D00626.obj,1,22,2173,22,0.9899772209567198,0.043478260869565216,0.043478260869565216,0.9801623083859333,0.043478260869565216
26,Apartment,D00639.obj,5,18,2177,18,0.9917995444191344,0.21739130434782608,0.21739130434782608,0.9837691614066727,0.21739130434782608
27,Apartment,D00651.obj,6,17,2178,17,0.992255125284738,0.2608695652173913,0.2608695652173913,0.9846708746618575,0.2608695652173913
28,Apartment,D00681.obj,7,16,2179,16,0.9927107061503417,0.30434782608695654,0.30434782608695654,0.9855725879170424,0.30434782608695654
29,Apartment,D00780.obj,1,22,2173,22,0.9899772209567198,0.043478260869565216,0.043478260869565216,0.9801623083859333,0.043478260869565216
30,Apartment,D00792.obj,2,21,2174,21,0.9904328018223235,0.08695652173913043,0.08695652173913043,0.9810640216411182,0.08695652173913043
31,Apartment,D00859.obj,1,22,2173,22,0.9899772209567198,0.043478260869565216,0.043478260869565216,0.9801623083859333,0.043478260869565216
32,Apartment,D00860.obj,4,19,2176,19,0.9913439635535307,0.17391304347826086,0.17391304347826086,0.9828674481514879,0.17391304347826086
33,Apartment,D00869.obj,2,21,2174,21,0.9904328018223235,0.08695652173913043,0.08695652173913043,0.9810640216411182,0.08695652173913043
34,Apartment,D00921.obj,2,21,2174,21,0.9904328018223235,0.08695652173913043,0.08695652173913043,0.9810640216411182,0.08695652173913043
35,Apartment,D00953.obj,4,19,2176,19,0.9913439635535307,0.17391304347826086,0.17391304347826086,0.9828674481514879,0.17391304347826086
36,Apartment,m463.obj,4,19,2176,19,0.9913439635535307,0.17391304347826086,0.17391304347826086,0.9828674481514879,0.17391304347826086
37,Apartment,m464.obj,2,21,2174,21,0.9904328018223235,0.08695652173913043,0.08695652173913043,0.9810640216411182,0.08695652173913043
38,Apartment,m465.obj,2,21,2174,21,0.9904328018223235,0.08695652173913043,0.08695652173913043,0.9810640216411182,0.08695652173913043
39,AquaticAnimal,m53.obj,4,24,2166,24,0.989041095890411,0.14285714285714285,0.14285714285714285,0.9783588818755635,0.14285714285714285
40,AquaticAnimal,m54.obj,4,24,2166,24,0.989041095890411,0.14285714285714285,0.14285714285714285,0.9783588818755635,0.14285714285714285
41,AquaticAnimal,m55.obj,3,25,2165,25,0.9885844748858448,0.10714285714285714,0.10714285714285714,0.9774571686203787,0.10714285714285714
42,AquaticAnimal,m56.obj,6,22,2168,22,0.9899543378995433,0.21428571428571427,0.21428571428571427,0.9801623083859333,0.21428571428571427
43,AquaticAnimal,m57.obj,4,24,2166,24,0.989041095890411,0.14285714285714285,0.14285714285714285,0.9783588818755635,0.14285714285714285
44,AquaticAnimal,m58.obj,1,27,2163,27,0.9876712328767123,0.03571428571428571,0.03571428571428571,0.975653742110009,0.03571428571428571
45,AquaticAnimal,m60.obj,5,23,2167,23,0.9894977168949771,0.17857142857142858,0.17857142857142858,0.9792605951307484,0.17857142857142858
46,AquaticAnimal,m61.obj,5,23,2167,23,0.9894977168949771,0.17857142857142858,0.17857142857142858,0.9792605951307484,0.17857142857142858
47,AquaticAnimal,m62.obj,1,27,2163,27,0.9876712328767123,0.03571428571428571,0.03571428571428571,0.975653742110009,0.03571428571428571
48,AquaticAnimal,m63.obj,1,27,2163,27,0.9876712328767123,0.03571428571428571,0.03571428571428571,0.975653742110009,0.03571428571428571
49,AquaticAnimal,m64.obj,5,23,2167,23,0.9894977168949771,0.17857142857142858,0.17857142857142858,0.9792605951307484,0.17857142857142858
50,AquaticAnimal,m65.obj,3,25,2165,25,0.9885844748858448,0.10714285714285714,0.10714285714285714,0.9774571686203787,0.10714285714285714
51,AquaticAnimal,m66.obj,1,27,2163,27,0.9876712328767123,0.03571428571428571,0.03571428571428571,0.975653742110009,0.03571428571428571
52,AquaticAnimal,m67.obj,4,24,2166,24,0.989041095890411,0.14285714285714285,0.14285714285714285,0.9783588818755635,0.14285714285714285
53,AquaticAnimal,m68.obj,1,27,2163,27,0.9876712328767123,0.03571428571428571,0.03571428571428571,0.975653742110009,0.03571428571428571
54,AquaticAnimal,m69.obj,7,21,2169,21,0.9904109589041096,0.25,0.25,0.9810640216411182,0.25
55,AquaticAnimal,m70.obj,4,24,2166,24,0.989041095890411,0.14285714285714285,0.14285714285714285,0.9783588818755635,0.14285714285714285
56,AquaticAnimal,m71.obj,1,27,2163,27,0.9876712328767123,0.03571428571428571,0.03571428571428571,0.975653742110009,0.03571428571428571
57,AquaticAnimal,m72.obj,6,22,2168,22,0.9899543378995433,0.21428571428571427,0.21428571428571427,0.9801623083859333,0.21428571428571427
58,AquaticAnimal,m73.obj,1,27,2163,27,0.9876712328767123,0.03571428571428571,0.03571428571428571,0.975653742110009,0.03571428571428571
59,AquaticAnimal,m74.obj,7,21,2169,21,0.9904109589041096,0.25,0.25,0.9810640216411182,0.25
60,AquaticAnimal,m75.obj,7,21,2169,21,0.9904109589041096,0.25,0.25,0.9810640216411182,0.25
61,AquaticAnimal,m76.obj,6,22,2168,22,0.9899543378995433,0.21428571428571427,0.21428571428571427,0.9801623083859333,0.21428571428571427
62,AquaticAnimal,m77.obj,2,26,2164,26,0.9881278538812786,0.07142857142857142,0.07142857142857142,0.9765554553651938,0.07142857142857142
63,AquaticAnimal,m78.obj,6,22,2168,22,0.9899543378995433,0.21428571428571427,0.21428571428571427,0.9801623083859333,0.21428571428571427
64,AquaticAnimal,m79.obj,2,26,2164,26,0.9881278538812786,0.07142857142857142,0.07142857142857142,0.9765554553651938,0.07142857142857142
65,AquaticAnimal,m80.obj,7,21,2169,21,0.9904109589041096,0.25,0.25,0.9810640216411182,0.25
66,AquaticAnimal,m81.obj,5,23,2167,23,0.9894977168949771,0.17857142857142858,0.17857142857142858,0.9792605951307484,0.17857142857142858
67,Bed,D00031.obj,8,19,2172,19,0.9913281606572342,0.2962962962962963,0.2962962962962963,0.9828674481514879,0.2962962962962963
68,Bed,D00110.obj,6,21,2170,21,0.9904153354632588,0.2222222222222222,0.2222222222222222,0.9810640216411182,0.2222222222222222
69,Bed,D00121.obj,7,20,2171,20,0.9908717480602465,0.25925925925925924,0.25925925925925924,0.981965734896303,0.25925925925925924
70,Bed,D00184.obj,3,24,2167,24,0.9890460976722958,0.1111111111111111,0.1111111111111111,0.9783588818755635,0.1111111111111111
71,Bed,D00210.obj,3,24,2167,24,0.9890460976722958,0.1111111111111111,0.1111111111111111,0.9783588818755635,0.1111111111111111
